I5,Mean #0,Max #0,Time #0,Mean #1,Max #1,Time #1,Mean #2,Max #2,Time #2,Mean #3,Max #3,Time #3,Mean #4,Max #4,Time #4,Mean #5,Max #5,Time #5,Mean #6,Max #6,Time #6,Mean #7,Max #7,Time #7,Mean #8,Max #8,Time #8,Mean #9,Max #9,Time #9,Mean #10,Max #10,Time #10,Mean #11,Max #11,Time #11,Mean #12,Max #12,Time #12,Mean #13,Max #13,Time #13,Mean #14,Max #14,Time #14,Mean #15,Max #15,Time #15,Mean #16,Max #16,Time #16,Mean #17,Max #17,Time #17,Mean #18,Max #18,Time #18,Mean #19,Max #19,Time #19,Mean #20,Max #20,Time #20,Mean #21,Max #21,Time #21,Mean #22,Max #22,Time #22,Mean #23,Max #23,Time #23,Mean #24,Max #24,Time #24,Mean #25,Max #25,Time #25,Mean #26,Max #26,Time #26,Mean #27,Max #27,Time #27,Mean #28,Max #28,Time #28,Mean #29,Max #29,Time #29,Mean #30,Max #30,Time #30,Mean #31,Max #31,Time #31,Mean #32,Max #32,Time #32,Mean #33,Max #33,Time #33,Mean #34,Max #34,Time #34,Mean #35,Max #35,Time #35,Mean #36,Max #36,Time #36,Mean #37,Max #37,Time #37,Mean #38,Max #38,Time #38,Mean #39,Max #39,Time #39,Mean #40,Max #40,Time #40,Mean #41,Max #41,Time #41,Mean #42,Max #42,Time #42,Mean #43,Max #43,Time #43,Mean #44,Max #44,Time #44,Mean #45,Max #45,Time #45,Mean #46,Max #46,Time #46,Mean #47,Max #47,Time #47,Mean #48,Max #48,Time #48,Mean #49,Max #49,Time #49,Mean #50,Max #50,Time #50,Mean #51,Max #51,Time #51,Mean #52,Max #52,Time #52,Mean #53,Max #53,Time #53,Mean #54,Max #54,Time #54,Mean #55,Max #55,Time #55,Mean #56,Max #56,Time #56,Mean #57,Max #57,Time #57,Mean #58,Max #58,Time #58,Mean #59,Max #59,Time #59,Mean #60,Max #60,Time #60,Mean #61,Max #61,Time #61,Mean #62,Max #62,Time #62,Mean #63,Max #63,Time #63,Mean #64,Max #64,Time #64,Mean #65,Max #65,Time #65,Mean #66,Max #66,Time #66,Mean #67,Max #67,Time #67,Mean #68,Max #68,Time #68,Mean #69,Max #69,Time #69,Mean #70,Max #70,Time #70,Mean #71,Max #71,Time #71,Mean #72,Max #72,Time #72,Mean #73,Max #73,Time #73,Mean #74,Max #74,Time #74,Mean #75,Max #75,Time #75,Mean #76,Max #76,Time #76,Mean #77,Max #77,Time #77,Mean #78,Max #78,Time #78,Mean #79,Max #79,Time #79,Mean #80,Max #80,Time #80,Mean #81,Max #81,Time #81,Mean #82,Max #82,Time #82,Mean #83,Max #83,Time #83,Mean #84,Max #84,Time #84,Mean #85,Max #85,Time #85,Mean #86,Max #86,Time #86,Mean #87,Max #87,Time #87,Mean #88,Max #88,Time #88,Mean #89,Max #89,Time #89,Mean #90,Max #90,Time #90,Mean #91,Max #91,Time #91,Mean #92,Max #92,Time #92,Mean #93,Max #93,Time #93,Mean #94,Max #94,Time #94,Mean #95,Max #95,Time #95,Mean #96,Max #96,Time #96,Mean #97,Max #97,Time #97,Mean #98,Max #98,Time #98,Mean #99,Max #99,Time #99
Persistent GreedyDistance Algorithm,32.0,32,9.897918462753296,32.0,32,9.688226699829102,37.0,37,10.434006929397583,34.0,34,9.91738772392273,32.0,32,11.026863098144531,19.0,19,12.100641965866089,40.0,40,10.574768304824829,32.0,32,10.168678283691406,23.0,23,10.61853551864624,31.0,31,10.238686561584473,33.0,33,10.49848222732544,38.0,38,9.83928370475769,26.0,26,10.642096757888794,20.0,20,11.396260261535645,36.0,36,9.719738483428955,29.0,29,10.94470477104187,37.0,37,10.0374915599823,26.0,26,10.385519981384277,31.0,31,10.732100248336792,42.0,42,9.793958187103271,31.0,31,10.103651285171509,29.0,29,10.266486406326294,31.0,31,9.95362401008606,37.0,37,9.743957757949829,36.0,36,10.147736549377441,35.0,35,10.4384925365448,31.0,31,10.663601636886597,28.0,28,11.207136869430542,30.0,30,10.702907085418701,31.0,31,9.46591305732727,27.0,27,10.800432205200195,32.0,32,10.9088294506073,32.0,32,9.839118003845215,43.0,43,10.690192699432373,33.0,33,9.979007482528687,32.0,32,10.91386890411377,40.0,40,10.502702713012695,37.0,37,10.059053897857666,39.0,39,10.300726175308228,34.0,34,10.377350330352783,31.0,31,10.359874725341797,32.0,32,10.606802940368652,26.0,26,10.566423177719116,35.0,35,11.179329872131348,28.0,28,10.28251051902771,31.0,31,10.366109371185303,35.0,35,10.295936107635498,33.0,33,10.62512731552124,33.0,33,9.904587745666504,29.0,29,10.069785594940186,28.0,28,10.72713851928711,26.0,26,10.230690002441406,38.0,38,9.296433210372925,33.0,33,10.227511882781982,38.0,38,10.407261610031128,33.0,33,10.444649934768677,27.0,27,10.026570796966553,38.0,38,9.620006084442139,36.0,36,10.670558452606201,29.0,29,9.463878393173218,41.0,41,10.338321208953857,33.0,33,10.311368703842163,27.0,27,10.60332703590393,30.0,30,10.837754726409912,40.0,40,10.871984481811523,31.0,31,9.994267702102661,33.0,33,9.643717765808105,30.0,30,10.244460344314575,36.0,36,10.093190670013428,31.0,31,9.776527881622314,29.0,29,10.136896133422852,32.0,32,10.13335108757019,37.0,37,10.195221662521362,30.0,30,9.85663914680481,27.0,27,9.658853769302368,32.0,32,10.23340892791748,36.0,36,10.080822229385376,40.0,40,10.801700592041016,33.0,33,9.88162088394165,31.0,31,9.378496408462524,34.0,34,10.625020027160645,27.0,27,10.99119782447815,39.0,39,10.966278076171875,29.0,29,10.616551637649536,38.0,38,10.704160451889038,26.0,26,9.57105278968811,26.0,26,10.113972187042236,33.0,33,11.04691219329834,32.0,32,10.340908765792847,26.0,26,9.843533754348755,27.0,27,10.013594388961792,31.0,31,10.600178718566895,41.0,41,10.585512161254883,36.0,36,9.622977256774902,41.0,41,9.027731657028198,26.0,26,10.70523452758789,36.0,36,9.882033824920654,33.0,33,10.372714042663574,30.0,30,10.397423028945923,27.0,27,10.223737001419067
GreedyTestimonies Algorithm,32.1,36,15.498913741111755,32.1,33,14.155646538734436,36.6,37,15.315687918663025,30.6,37,13.306436204910279,23.1,25,16.869626116752624,23.2,25,20.171198701858522,33.6,34,15.43365399837494,29.0,30,14.058167743682862,30.3,34,16.552985882759096,31.2,35,15.032244038581847,25.3,29,16.029046630859376,37.8,40,14.007431936264037,20.7,24,17.539564323425292,21.5,22,16.43512272834778,27.6,29,14.606702613830567,29.7,33,18.3626047372818,35.4,40,16.022347927093506,32.0,34,17.779059100151063,29.8,31,16.606337213516234,34.4,36,15.026647877693176,30.4,32,15.744410085678101,26.4,28,15.170272564888,20.6,22,15.041257190704346,34.8,36,13.455615830421447,30.9,33,14.07885308265686,29.4,31,15.57390193939209,33.5,36,16.27713370323181,29.9,32,18.443019366264345,27.0,28,16.91364207267761,24.5,27,13.771594572067261,25.8,26,17.413047361373902,27.7,29,15.836248326301575,28.4,31,14.277709674835204,36.9,38,13.388865518569947,28.9,33,13.797667145729065,25.1,27,17.819332122802734,29.6,32,16.337013602256775,35.5,37,14.966243457794189,34.2,35,15.90306797027588,29.6,33,14.822580456733704,28.5,30,15.927678942680359,27.7,30,15.072081565856934,22.3,26,16.304056024551393,28.3,30,17.639179825782776,25.7,27,15.631526398658753,29.5,33,14.546560573577882,32.1,34,14.666946911811829,33.7,38,14.938429403305054,34.4,38,13.940916514396667,30.6,34,15.447393679618836,33.5,36,16.46777229309082,24.7,25,15.1033185005188,31.9,35,12.891654229164123,26.0,29,16.344271898269653,28.0,33,15.25920205116272,28.7,30,14.588106036186218,34.0,36,15.088850140571594,27.7,29,14.179090642929078,27.3,29,15.906824588775635,26.0,28,14.027032136917114,36.8,39,13.45510709285736,30.6,33,15.06584894657135,31.9,33,15.78655903339386,28.4,31,16.153389310836793,34.5,35,14.843906950950622,29.2,31,13.634384512901306,24.8,30,14.855732798576355,37.8,40,16.303550481796265,27.7,32,13.369546556472779,28.9,33,14.307337856292724,29.0,31,14.867660474777221,24.9,26,16.000568079948426,31.4,32,14.544363427162171,23.8,27,13.792359948158264,22.4,26,13.33337869644165,24.6,27,16.78314917087555,32.5,34,15.004939246177674,31.7,36,13.446280145645142,32.1,35,14.90411467552185,30.5,36,14.387439584732055,27.0,29,15.502664709091187,27.2,33,16.091801261901857,38.8,40,17.18026397228241,29.8,32,15.384038758277892,39.0,42,15.637343883514404,22.6,24,15.083322978019714,26.5,27,16.630921506881712,33.5,37,17.614495730400087,27.9,33,14.89185688495636,17.7,20,15.14156506061554,29.1,30,16.169127655029296,22.9,24,16.525961017608644,35.1,39,16.269135808944704,36.8,38,13.941529631614685,29.2,34,11.861038494110108,22.0,24,16.73608331680298,25.7,28,13.436379194259644,27.5,30,15.37215507030487,25.4,27,16.071026301383974,29.4,33,15.45100121498108
Genetic Algorithm,34.2,40,3.5824450492858886,34.2,38,3.5127156257629393,36.9,43,3.7631300687789917,34.6,38,3.6509315252304075,32.1,35,3.5924843072891237,28.9,33,3.626167321205139,35.2,39,3.653905653953552,34.2,37,3.666255068778992,33.8,36,3.6296457290649413,34.8,37,3.6882832527160643,32.8,37,3.581387662887573,39.9,46,3.759493184089661,29.9,33,3.610649037361145,31.5,33,3.5842843532562254,35.2,39,3.5289238691329956,33.3,37,3.76315655708313,39.4,45,3.862301206588745,33.2,39,3.67241485118866,33.3,37,3.608257222175598,37.9,41,3.750008773803711,35.1,39,3.676992154121399,33.3,36,3.7070690393447876,31.7,37,3.7179998397827148,36.9,39,3.693636345863342,34.5,42,3.7633944749832153,35.8,39,3.5979119777679442,34.3,37,4.015340948104859,32.5,35,3.68848922252655,32.3,36,3.6220410823822022,34.3,39,3.561670160293579,34.3,38,3.687704396247864,32.9,38,3.631157875061035,32.3,37,3.590110492706299,36.5,39,3.810461950302124,37.0,42,3.6636977195739746,32.5,35,3.6756862878799437,35.6,40,3.659724473953247,36.1,38,3.5663227081298827,36.5,39,3.7230780363082885,35.7,38,3.6067561149597167,31.4,36,3.58450026512146,35.7,38,3.7150277853012086,30.7,36,3.6649762392044067,37.1,40,3.865346312522888,32.9,37,3.6862289667129517,31.3,36,3.5927220821380614,34.0,37,3.784997749328613,35.6,40,3.7737266540527346,35.6,40,3.7215198993682863,34.5,41,3.712678623199463,46.2,48,4.0104868650436405,42.8,46,3.448606777191162,43.4,47,3.3160458981990812,45.3,50,3.968149024248123,45.1,50,3.7763331830501556,47.2,50,3.9352596044540404,49.3,52,3.716316145658493,47.2,49,3.3667469561100005,43.9,47,3.541374772787094,41.8,45,3.239363443851471,49.5,53,3.640290600061417,50.4,53,3.7413695812225343,41.9,44,3.8868804395198824,44.9,48,3.5897446632385255,50.3,52,3.7142255663871766,45.7,50,3.6611635744571687,49.8,53,3.5775695025920866,45.1,50,3.6384988903999327,46.0,49,3.6946848332881927,40.6,44,3.525085997581482,45.3,49,3.9117432475090026,40.5,43,3.6307873666286468,47.5,51,3.5959481060504914,43.6,46,3.395282191038132,41.2,44,3.3235357820987703,45.1,49,3.716661828756332,46.1,50,3.3993424355983732,52.9,56,3.5931141436100007,46.4,49,3.372214639186859,44.2,47,3.2811361968517305,44.7,46,3.4020706951618194,40.8,44,3.4570929646492004,51.6,54,3.6311053216457365,42.6,45,3.289673626422882,54.8,57,3.812471717596054,43.0,45,3.3290637969970702,38.8,40,3.428108108043671,49.7,54,3.651403123140335,45.8,49,3.600793695449829,43.2,47,3.115837025642395,44.0,47,3.308546209335327,44.4,46,3.3186328947544097,51.6,55,3.6736409842967985,45.7,48,3.3318034410476685,47.1,50,3.292669600248337,42.4,44,3.403998601436615,44.4,45,3.3292758107185363,44.5,48,3.4198238968849184,44.6,46,3.2500869035720825,44.1,47,3.428265255689621
Memetic Algorithm,40.6,43,106.51364493370056,40.3,45,108.31551897525787,40.8,44,108.83255858421326,39.3,41,105.3552497625351,36.2,39,98.97085177898407,32.2,34,95.92423522472382,40.2,43,109.89924266338349,38.9,41,107.14941730499268,40.4,44,106.52322533130646,40.3,47,109.03362295627593,38.0,40,103.63648879528046,46.1,48,113.11110980510712,35.0,40,98.25415313243866,36.5,39,101.22291970252991,39.2,42,100.3435941696167,40.0,43,106.02116227149963,45.4,49,116.40681672096252,39.1,42,102.91917843818665,40.6,42,109.92925465106964,43.9,47,116.43830347061157,40.2,43,104.27934029102326,39.3,45,107.14236330986023,37.9,41,105.41029393672943,42.2,45,112.93323051929474,42.2,45,109.94925615787506,41.5,44,111.22768707275391,39.8,44,107.80002703666688,39.0,42,110.11768188476563,37.4,39,103.39638483524323,40.3,45,99.8225863456726,38.2,41,105.48388652801513,39.0,43,111.24576737880707,38.2,41,106.87150609493256,43.0,46,115.39479613304138,40.9,44,107.50139396190643,37.6,41,105.90551707744598,40.0,42,108.52385787963867,40.9,44,104.81001894474029,42.6,45,114.54366488456726,41.2,44,110.11025390625,36.8,40,103.12768030166626,41.8,44,113.54316532611847,35.4,38,97.83525958061219,41.8,46,115.5151799440384,36.3,39,106.25592677593231,36.8,40,99.67170000076294,39.4,43,108.9268238067627,40.8,43,112.49860036373138,42.4,45,113.9076691865921,39.2,43,102.69474618434906,47.2,49,117.74896931250892,45.0,47,97.99724948326748,45.4,50,92.17745247205099,46.7,51,114.8925717830658,47.7,50,109.82069620211921,48.0,50,111.7592329231898,52.3,54,110.0536875875791,50.1,52,95.75036316553752,46.7,49,102.99125306924186,44.4,47,93.38516425848009,51.1,54,106.7188645418485,53.0,56,119.5075867541631,43.4,46,114.87395332892736,46.7,49,105.10826200405758,50.9,53,110.93817706664404,45.8,50,112.13101183255513,51.2,55,105.51447099685669,47.1,49,102.9224140405655,48.6,53,107.66730394681296,42.0,46,101.63005014499029,47.9,50,114.0192467482885,43.3,45,101.69128477493923,50.6,53,106.64579097747804,45.8,48,90.62933423519135,44.7,48,92.91090522130331,47.9,51,104.74548313856124,48.7,51,101.44987793286643,55.9,58,113.28758336702982,47.6,50,97.41163250525794,45.1,47,92.89108022054037,46.4,49,99.63335855325064,43.8,48,97.4113202404976,53.5,56,108.52482147852581,43.8,47,94.73155957380932,59.7,62,116.85391131480536,45.5,47,96.9487856610616,42.7,45,97.64325397332512,52.2,56,106.96977645397186,49.1,51,103.20743477582931,46.0,49,83.88543224811555,45.3,47,97.06537232319516,47.4,50,97.72704728444418,54.1,56,111.06773744662603,50.4,54,98.19786455551785,49.7,52,93.21261138518652,44.9,48,95.63348261435829,47.4,51,97.35227483828864,48.1,52,97.47252711455027,46.5,49,93.0000072781245,46.6,49,96.94674194415411
