I1,Mean #0,Max #0,Time #0,Mean #1,Max #1,Time #1,Mean #2,Max #2,Time #2,Mean #3,Max #3,Time #3,Mean #4,Max #4,Time #4,Mean #5,Max #5,Time #5,Mean #6,Max #6,Time #6,Mean #7,Max #7,Time #7,Mean #8,Max #8,Time #8,Mean #9,Max #9,Time #9,Mean #10,Max #10,Time #10,Mean #11,Max #11,Time #11,Mean #12,Max #12,Time #12,Mean #13,Max #13,Time #13,Mean #14,Max #14,Time #14,Mean #15,Max #15,Time #15,Mean #16,Max #16,Time #16,Mean #17,Max #17,Time #17,Mean #18,Max #18,Time #18,Mean #19,Max #19,Time #19,Mean #20,Max #20,Time #20,Mean #21,Max #21,Time #21,Mean #22,Max #22,Time #22,Mean #23,Max #23,Time #23,Mean #24,Max #24,Time #24,Mean #25,Max #25,Time #25,Mean #26,Max #26,Time #26,Mean #27,Max #27,Time #27,Mean #28,Max #28,Time #28,Mean #29,Max #29,Time #29,Mean #30,Max #30,Time #30,Mean #31,Max #31,Time #31,Mean #32,Max #32,Time #32,Mean #33,Max #33,Time #33,Mean #34,Max #34,Time #34,Mean #35,Max #35,Time #35,Mean #36,Max #36,Time #36,Mean #37,Max #37,Time #37,Mean #38,Max #38,Time #38,Mean #39,Max #39,Time #39,Mean #40,Max #40,Time #40,Mean #41,Max #41,Time #41,Mean #42,Max #42,Time #42,Mean #43,Max #43,Time #43,Mean #44,Max #44,Time #44,Mean #45,Max #45,Time #45,Mean #46,Max #46,Time #46,Mean #47,Max #47,Time #47,Mean #48,Max #48,Time #48,Mean #49,Max #49,Time #49,Mean #50,Max #50,Time #50,Mean #51,Max #51,Time #51,Mean #52,Max #52,Time #52,Mean #53,Max #53,Time #53,Mean #54,Max #54,Time #54,Mean #55,Max #55,Time #55,Mean #56,Max #56,Time #56,Mean #57,Max #57,Time #57,Mean #58,Max #58,Time #58,Mean #59,Max #59,Time #59,Mean #60,Max #60,Time #60,Mean #61,Max #61,Time #61,Mean #62,Max #62,Time #62,Mean #63,Max #63,Time #63,Mean #64,Max #64,Time #64,Mean #65,Max #65,Time #65,Mean #66,Max #66,Time #66,Mean #67,Max #67,Time #67,Mean #68,Max #68,Time #68,Mean #69,Max #69,Time #69,Mean #70,Max #70,Time #70,Mean #71,Max #71,Time #71,Mean #72,Max #72,Time #72,Mean #73,Max #73,Time #73,Mean #74,Max #74,Time #74,Mean #75,Max #75,Time #75,Mean #76,Max #76,Time #76,Mean #77,Max #77,Time #77,Mean #78,Max #78,Time #78,Mean #79,Max #79,Time #79,Mean #80,Max #80,Time #80,Mean #81,Max #81,Time #81,Mean #82,Max #82,Time #82,Mean #83,Max #83,Time #83,Mean #84,Max #84,Time #84,Mean #85,Max #85,Time #85,Mean #86,Max #86,Time #86,Mean #87,Max #87,Time #87,Mean #88,Max #88,Time #88,Mean #89,Max #89,Time #89,Mean #90,Max #90,Time #90,Mean #91,Max #91,Time #91,Mean #92,Max #92,Time #92,Mean #93,Max #93,Time #93,Mean #94,Max #94,Time #94,Mean #95,Max #95,Time #95,Mean #96,Max #96,Time #96,Mean #97,Max #97,Time #97,Mean #98,Max #98,Time #98,Mean #99,Max #99,Time #99
Genetic Algorithm,14.0,14,0.5138266563415528,15.6,16,0.5127258539199829,16.3,17,0.5204029083251953,15.0,15,0.5205989599227905,11.7,12,0.505544924736023,14.0,14,0.4939145803451538,17.4,18,0.5692313194274903,15.8,16,0.5451310873031616,14.0,14,0.4958146810531616,17.0,17,0.556292462348938,12.5,13,0.5118366956710816,18.0,18,0.5220999002456665,17.5,18,0.5616634845733642,14.0,14,0.5215142011642456,12.8,13,0.5116165161132813,14.0,14,0.514050555229187,19.0,19,0.5331069707870484,13.6,14,0.4992330312728882,15.0,15,0.5206823110580444,17.9,18,0.5276919364929199,14.9,15,0.5145884275436401,13.0,13,0.5053933382034301,14.4,15,0.5202942609786987,14.0,14,0.4833174228668213,14.0,14,0.5014840364456177,14.6,15,0.4679630041122437,18.0,18,0.5205087423324585,15.1,16,0.5367772579193115,15.9,16,0.5006719827651978,15.4,17,0.5260427951812744,20.0,20,0.5536957263946534,15.5,16,0.5162945985794067,17.0,17,0.5678126811981201,11.9,13,0.5007721662521363,13.2,14,0.5162891864776611,16.2,17,0.5248118877410889,14.0,14,0.5045342683792114,19.0,20,0.5498285531997681,12.1,13,0.4910078287124634,19.4,20,0.5571986198425293,13.0,13,0.50168936252594,13.6,14,0.5131650447845459,18.6,19,0.5346963167190552,13.0,13,0.47753520011901857,12.0,12,0.4950874328613281,14.0,14,0.5128230810165405,12.8,13,0.47835912704467776,12.0,12,0.487045955657959,15.0,15,0.5520099401473999,15.7,16,0.5559421062469483,14.7,15,0.5360119819641114,14.1,15,0.5017077684402466,17.9,18,0.5000049829483032,15.7,16,0.5399605751037597,16.0,16,0.520126485824585,14.7,15,0.5180270433425903,13.0,13,0.5160797595977783,14.0,14,0.5169451475143433,13.0,13,0.48715498447418215,16.1,17,0.5126618623733521,14.0,14,0.5123609066009521,12.0,12,0.5225354671478272,13.5,14,0.5213797569274903,13.0,13,0.5210041999816895,17.0,17,0.528314185142517,15.9,16,0.5452987670898437,15.3,16,0.48682270050048826,12.0,12,0.49766762256622316,14.0,14,0.5164722442626953,14.7,15,0.5352816581726074,17.0,17,0.5035840511322022,23.0,23,0.5629064083099365,15.0,15,0.5069365978240967,15.0,15,0.5198711156845093,14.0,14,0.5153887510299683,14.2,15,0.5087939262390136,11.4,12,0.42400801181793213,17.0,17,0.5321069478988647,14.3,15,0.5501975536346435,20.7,21,0.5656501054763794,17.9,18,0.5233839988708496,14.2,15,0.5018864870071411,16.8,17,0.5379324436187745,12.9,13,0.5038389444351197,12.0,12,0.4929306745529175,16.0,16,0.5312848329544068,14.0,14,0.5007831811904907,14.0,14,0.5408015727996827,13.3,14,0.5268425703048706,12.8,13,0.4809314250946045,14.2,15,0.4926463603973389,16.4,17,0.5201847791671753,16.8,17,0.543717908859253,12.7,13,0.5259904623031616,10.0,10,0.439566445350647,11.7,12,0.4615635871887207,16.8,17,0.5507226705551147,20.4,22,0.5670912504196167,13.0,14,0.5110917806625366,14.6,15,0.5364232301712036
Memetic Algorithm,14.0,14,0.8581034421920777,15.8,16,0.9269877195358276,16.5,17,0.8934057712554931,15.0,15,0.9882706642150879,11.6,12,0.84860680103302,14.0,14,0.8301433801651001,17.2,18,1.2915532112121582,15.9,16,1.0629229545593262,14.0,14,0.750530743598938,17.0,17,1.0837570190429688,12.5,13,0.8959238052368164,18.0,18,0.8893649101257324,17.4,18,1.2150612354278565,14.0,14,0.9359711408615112,12.9,13,0.8937701225280762,14.0,14,0.9356359958648681,19.0,19,0.9336588382720947,13.9,14,0.7600745677947998,14.9,15,0.8990157842636108,18.0,18,0.977197527885437,14.8,15,0.8873831748962402,13.0,13,0.7844054937362671,15.0,15,0.9776681184768676,14.0,14,0.6686138153076172,14.0,14,0.9103044986724853,14.9,16,0.591926884651184,18.0,18,0.9480411291122437,15.1,16,1.0103367567062378,15.9,16,0.83171706199646,16.5,17,1.0466781377792358,20.0,20,1.0549294710159303,15.4,16,0.9340092897415161,16.9,17,1.1308593988418578,12.3,13,0.7946442842483521,13.3,14,0.9609277009963989,16.1,17,0.9479994535446167,14.0,14,0.8291926383972168,19.0,20,1.0661965131759643,11.9,12,0.7788539409637452,19.5,20,1.2093488454818726,13.0,13,0.8221142530441284,13.6,14,0.9065804004669189,18.2,19,1.0182551622390748,13.0,13,0.6843736410140991,12.0,12,0.8239651918411255,13.9,14,0.9191159725189209,12.9,13,0.6573530673980713,12.0,12,0.6984461784362793,15.0,15,1.0850387573242188,15.6,16,1.1108585834503173,15.0,15,0.9449079275131226,14.4,16,0.8422981977462769,18.0,18,0.7835840702056884,15.8,16,1.0799683570861816,16.0,16,0.8332064151763916,14.8,15,0.9373825311660766,13.0,13,0.9044662237167358,14.0,14,0.9277806043624878,13.0,13,0.7954262018203735,16.0,16,0.8281260013580323,14.0,14,0.8708641767501831,12.0,12,0.8985940217971802,14.0,14,0.968892502784729,13.0,13,0.9277204513549805,17.0,17,1.000397229194641,15.8,16,1.0523849964141845,15.2,16,0.7040639638900756,12.0,12,0.7988240003585816,14.0,14,0.867008900642395,14.9,15,0.9561974763870239,16.9,17,0.8124802350997925,22.9,23,1.128336000442505,15.0,15,0.8311052322387695,15.0,15,0.9169650554656983,14.0,14,0.9062169313430786,14.5,15,0.883322024345398,11.1,12,0.48375306129455564,17.0,17,0.9613501310348511,14.1,15,1.1495450973510741,20.5,21,1.1649847745895385,18.0,18,0.9695405483245849,14.8,15,0.7998759269714355,16.8,17,1.0375582456588746,12.5,13,0.868598198890686,12.0,12,0.7132354497909545,16.0,16,0.9816298484802246,14.0,14,0.788830828666687,14.0,14,0.9874723434448243,13.1,14,0.8371423959732056,12.6,13,0.7128680229187012,14.0,14,0.7444573163986206,16.9,17,0.9412378549575806,16.6,17,0.9650563716888427,12.7,13,0.9176834344863891,10.0,10,0.4864032506942749,11.9,12,0.6177383899688721,17.0,17,1.0419568061828612,20.7,22,1.1188776254653932,13.0,14,0.8155639886856079,15.0,15,1.0255869626998901
Persistent GreedyDistance Algorithm,12.0,12,0.0027382373809814453,13.0,13,0.0031511783599853516,13.0,13,0.0029850006103515625,13.0,13,0.0031080245971679688,11.0,11,0.002740144729614258,14.0,14,0.002582073211669922,13.0,13,0.0034809112548828125,13.0,13,0.002726316452026367,12.0,12,0.00237274169921875,15.0,15,0.0030078887939453125,11.0,11,0.002070188522338867,18.0,18,0.002866029739379883,17.0,17,0.0031812191009521484,13.0,13,0.0028710365295410156,12.0,12,0.0023839473724365234,12.0,12,0.0026521682739257812,17.0,17,0.004038810729980469,9.0,9,0.002311229705810547,13.0,13,0.0028100013732910156,12.0,12,0.002727985382080078,13.0,13,0.0025148391723632812,11.0,11,0.002526998519897461,12.0,12,0.0021431446075439453,10.0,10,0.0021131038665771484,14.0,14,0.002315044403076172,13.0,13,0.002543926239013672,13.0,13,0.0024819374084472656,11.0,11,0.002811908721923828,12.0,12,0.0023910999298095703,14.0,14,0.002699136734008789,18.0,18,0.0030679702758789062,14.0,14,0.002640247344970703,13.0,13,0.0038061141967773438,12.0,12,0.002344846725463867,13.0,13,0.0030541419982910156,16.0,16,0.0029342174530029297,14.0,14,0.0025942325592041016,19.0,19,0.0036160945892333984,11.0,11,0.0024907588958740234,19.0,19,0.002521038055419922,11.0,11,0.0023717880249023438,14.0,14,0.0023300647735595703,15.0,15,0.0030050277709960938,12.0,12,0.002237081527709961,11.0,11,0.0024843215942382812,11.0,11,0.002538919448852539,13.0,13,0.002337217330932617,12.0,12,0.002357959747314453,14.0,14,0.002785921096801758,15.0,15,0.0025517940521240234,13.0,13,0.002691984176635742,16.0,16,0.0028688907623291016,15.0,15,0.0027060508728027344,14.0,14,0.002666950225830078,12.0,12,0.002507925033569336,14.0,14,0.0025758743286132812,10.0,10,0.0024919509887695312,14.0,14,0.0025169849395751953,13.0,13,0.002395153045654297,15.0,15,0.0028510093688964844,12.0,12,0.0025119781494140625,12.0,12,0.002521038055419922,11.0,11,0.002538919448852539,11.0,11,0.002260923385620117,17.0,17,0.0024557113647460938,15.0,15,0.0026900768280029297,15.0,15,0.002485990524291992,11.0,11,0.0022780895233154297,13.0,13,0.0024530887603759766,12.0,12,0.0026750564575195312,15.0,15,0.002794027328491211,20.0,20,0.0030117034912109375,12.0,12,0.0028448104858398438,13.0,13,0.002601146697998047,13.0,13,0.002588987350463867,14.0,14,0.002850055694580078,11.0,11,0.0021800994873046875,16.0,16,0.002942800521850586,14.0,14,0.003075838088989258,17.0,17,0.0030410289764404297,18.0,18,0.002735137939453125,13.0,13,0.002836942672729492,13.0,13,0.0028150081634521484,10.0,10,0.002443075180053711,11.0,11,0.002377033233642578,14.0,14,0.0031287670135498047,13.0,13,0.002458810806274414,14.0,14,0.002736330032348633,14.0,14,0.002809762954711914,12.0,12,0.0025200843811035156,12.0,12,0.0024938583374023438,14.0,14,0.0025010108947753906,15.0,15,0.002698183059692383,10.0,10,0.0025510787963867188,10.0,10,0.0021669864654541016,11.0,11,0.0022950172424316406,14.0,14,0.003136873245239258,17.0,17,0.003350973129272461,11.0,11,0.0025510787963867188,14.0,14,0.002429962158203125
GreedyTestimonies Algorithm,9.7,12,0.001867985725402832,13.0,16,0.0018734931945800781,13.4,15,0.001813817024230957,11.3,12,0.0017791986465454102,10.1,11,0.0016313791275024414,9.8,11,0.001610708236694336,13.6,16,0.0024129152297973633,14.1,15,0.002164292335510254,11.2,12,0.001366400718688965,13.2,16,0.002140641212463379,9.7,12,0.0008794069290161133,12.9,17,0.0017678976058959962,15.0,17,0.0019104957580566406,11.8,13,0.0021329879760742187,10.7,12,0.0014429807662963868,10.4,11,0.0018699884414672852,16.2,18,0.0030766963958740235,10.8,12,0.0015701055526733398,13.5,15,0.00187990665435791,13.0,17,0.001962089538574219,10.9,13,0.0011990070343017578,9.3,10,0.0013936996459960938,9.1,15,0.0011632919311523437,9.5,12,0.0013175249099731446,10.9,13,0.00110321044921875,13.0,14,0.0014601945877075195,11.0,13,0.0017815113067626953,13.5,15,0.0016871929168701173,10.6,13,0.0015060901641845703,13.2,15,0.0016823053359985352,16.6,19,0.001988720893859863,11.3,13,0.0016463994979858398,10.6,12,0.002555990219116211,10.5,12,0.0012032032012939454,9.8,13,0.001679682731628418,14.2,16,0.0019629955291748046,10.7,13,0.001419973373413086,16.8,18,0.0024720191955566405,9.2,11,0.0015775918960571288,15.0,18,0.0012332916259765625,9.3,11,0.0013731956481933595,10.2,13,0.0009912967681884766,12.5,16,0.0019510030746459962,10.1,12,0.0012731075286865235,8.2,11,0.0012802839279174804,9.7,13,0.001519012451171875,10.5,13,0.001320195198059082,11.5,12,0.001538705825805664,12.0,15,0.0017973899841308594,11.7,14,0.001440715789794922,13.3,15,0.0016761302947998046,11.7,14,0.001816701889038086,9.6,12,0.0018600940704345704,12.8,15,0.0017666101455688476,10.4,13,0.0015324831008911132,11.6,14,0.0015043020248413086,10.5,12,0.0016011953353881835,11.6,14,0.0014531135559082032,10.8,13,0.0012657880783081056,13.4,16,0.00172879695892334,9.1,14,0.0011638879776000976,8.4,10,0.0014217138290405274,11.0,13,0.0012521982192993165,9.6,11,0.0011878013610839844,12.8,17,0.0014364004135131836,10.6,12,0.0017013072967529297,9.7,11,0.0011634349822998047,8.3,10,0.001187300682067871,9.3,14,0.0011816978454589843,10.7,13,0.0015080928802490234,13.0,14,0.0017263650894165038,14.7,18,0.002141308784484863,10.5,12,0.002142500877380371,10.3,12,0.001272296905517578,9.3,10,0.001574397087097168,12.2,14,0.0017693042755126953,7.5,9,0.001219773292541504,14.4,17,0.0017848014831542969,12.9,13,0.0023395061492919923,17.8,19,0.0026015043258666992,12.9,15,0.0013072729110717774,12.0,14,0.001571512222290039,12.0,14,0.001633000373840332,9.4,12,0.0013186931610107422,9.3,11,0.0016509056091308593,13.0,16,0.002190518379211426,10.5,13,0.0016629934310913087,11.3,13,0.0018619775772094726,12.3,13,0.0020532131195068358,9.8,11,0.0011711835861206055,10.7,13,0.0017394781112670898,12.8,14,0.0014671802520751954,11.7,15,0.0017599344253540039,9.6,11,0.0014931201934814454,6.8,9,0.0010558843612670898,10.3,12,0.0013895988464355468,11.7,14,0.0020145893096923826,16.5,17,0.0025020122528076174,11.7,13,0.0014661073684692383,9.8,14,0.0011029958724975586
Optimal solutions,15.0,15,14.982760906219482,16.0,16,7.880908012390137,17.0,17,2.1102609634399414,15.0,15,33.712674140930176,12.0,12,25.083947896957397,14.0,14,2.753774881362915,18.0,18,124.86573004722595,16.0,16,6.922647714614868,14.0,14,4.459485054016113,17.0,17,12.110615730285645,13.0,13,14.553573846817017,18.0,18,8.87297797203064,18.0,18,13.570410966873169,15.0,15,38.32264804840088,13.0,13,7.3302161693573,14.0,14,7.919821262359619,19.0,19,123.68551993370056,14.0,14,10.368167877197266,15.0,15,20.168285131454468,18.0,18,2.35141921043396,15.0,15,2.9189651012420654,13.0,13,67.70430994033813,15.0,15,1.2503008842468262,14.0,14,6.875447034835815,14.0,14,13.752746105194092,16.0,16,2.675978899002075,18.0,18,2.607374668121338,16.0,16,25.879920959472656,16.0,16,4.7396018505096436,17.0,17,12.353882074356079,20.0,20,24.88113498687744,16.0,16,24.519162893295288,17.0,17,27.34822177886963,13.0,13,112.45417976379395,14.0,14,9.057677030563354,17.0,17,6.950763940811157,15.0,15,0.8377110958099365,20.0,20,8.348274946212769,13.0,13,3.7086970806121826,20.0,20,1.078160047531128,13.0,13,10.507645845413208,14.0,14,4.159553050994873,19.0,19,6.0852580070495605,13.0,13,1.1298470497131348,12.0,12,9.679873943328857,14.0,14,8.32893419265747,13.0,13,4.46788477897644,12.0,12,19.30898666381836,15.0,15,29.320377826690674,16.0,16,3.235849142074585,15.0,15,8.870518922805786,16.0,16,1.6516740322113037,18.0,18,2.046880006790161,16.0,16,19.60556697845459,16.0,16,3.8710451126098633,15.0,15,10.593276262283325,13.0,13,7.968547821044922,15.0,15,7.638128995895386,13.0,13,7.138432025909424,17.0,17,4.281481981277466,14.0,14,3.3753671646118164,12.0,12,27.437187910079956,14.0,14,10.97071385383606,13.0,13,3.835226058959961,17.0,17,0.7504818439483643,16.0,16,7.1958911418914795,16.0,16,3.459716796875,12.0,12,1.3276302814483643,14.0,14,2.3725199699401855,15.0,15,2.8926782608032227,17.0,17,6.379834175109863,23.0,23,4.9088521003723145,15.0,15,5.3723461627960205,15.0,15,4.571673154830933,14.0,14,2.8367490768432617,15.0,15,17.104250192642212,12.0,12,3.2062039375305176,17.0,17,3.205264091491699,15.0,15,44.81954789161682,21.0,21,24.06559991836548,18.0,18,3.182102918624878,15.0,15,3.3949759006500244,17.0,17,13.288104772567749,13.0,13,3.3420357704162598,12.0,12,7.74868106842041,16.0,16,24.998815059661865,14.0,14,23.823035955429077,14.0,14,9.658518075942993,14.0,14,9.394411087036133,13.0,13,1.093291997909546,15.0,15,5.635812759399414,17.0,17,2.8854012489318848,17.0,17,28.364539861679077,13.0,13,23.97201418876648,10.0,10,1.5591208934783936,12.0,12,8.057776689529419,17.0,17,105.3897910118103,22.0,22,62.32993793487549,14.0,14,11.361663103103638,15.0,15,6.622694969177246
