realCase,Mean (0.0; 0),Max (0.0; 0),Mean hits (0.0; 0),real fitness (0.0; 0),Time (0.0; 0),Mean (0.0; 1),Max (0.0; 1),Mean hits (0.0; 1),real fitness (0.0; 1),Time (0.0; 1),Mean (0.0; 2),Max (0.0; 2),Mean hits (0.0; 2),real fitness (0.0; 2),Time (0.0; 2),Mean (0.0; 3),Max (0.0; 3),Mean hits (0.0; 3),real fitness (0.0; 3),Time (0.0; 3),Mean (0.0; 4),Max (0.0; 4),Mean hits (0.0; 4),real fitness (0.0; 4),Time (0.0; 4),Mean (0.0; 5),Max (0.0; 5),Mean hits (0.0; 5),real fitness (0.0; 5),Time (0.0; 5),Mean (0.1; 0),Max (0.1; 0),Mean hits (0.1; 0),real fitness (0.1; 0),Time (0.1; 0),Mean (0.1; 1),Max (0.1; 1),Mean hits (0.1; 1),real fitness (0.1; 1),Time (0.1; 1),Mean (0.1; 2),Max (0.1; 2),Mean hits (0.1; 2),real fitness (0.1; 2),Time (0.1; 2),Mean (0.1; 3),Max (0.1; 3),Mean hits (0.1; 3),real fitness (0.1; 3),Time (0.1; 3),Mean (0.1; 4),Max (0.1; 4),Mean hits (0.1; 4),real fitness (0.1; 4),Time (0.1; 4),Mean (0.1; 5),Max (0.1; 5),Mean hits (0.1; 5),real fitness (0.1; 5),Time (0.1; 5),Mean (0.2; 0),Max (0.2; 0),Mean hits (0.2; 0),real fitness (0.2; 0),Time (0.2; 0),Mean (0.2; 1),Max (0.2; 1),Mean hits (0.2; 1),real fitness (0.2; 1),Time (0.2; 1),Mean (0.2; 2),Max (0.2; 2),Mean hits (0.2; 2),real fitness (0.2; 2),Time (0.2; 2),Mean (0.2; 3),Max (0.2; 3),Mean hits (0.2; 3),real fitness (0.2; 3),Time (0.2; 3),Mean (0.2; 4),Max (0.2; 4),Mean hits (0.2; 4),real fitness (0.2; 4),Time (0.2; 4),Mean (0.2; 5),Max (0.2; 5),Mean hits (0.2; 5),real fitness (0.2; 5),Time (0.2; 5),Mean (0.3; 0),Max (0.3; 0),Mean hits (0.3; 0),real fitness (0.3; 0),Time (0.3; 0),Mean (0.3; 1),Max (0.3; 1),Mean hits (0.3; 1),real fitness (0.3; 1),Time (0.3; 1),Mean (0.3; 2),Max (0.3; 2),Mean hits (0.3; 2),real fitness (0.3; 2),Time (0.3; 2),Mean (0.3; 3),Max (0.3; 3),Mean hits (0.3; 3),real fitness (0.3; 3),Time (0.3; 3),Mean (0.3; 4),Max (0.3; 4),Mean hits (0.3; 4),real fitness (0.3; 4),Time (0.3; 4),Mean (0.3; 5),Max (0.3; 5),Mean hits (0.3; 5),real fitness (0.3; 5),Time (0.3; 5),Mean (0.4; 0),Max (0.4; 0),Mean hits (0.4; 0),real fitness (0.4; 0),Time (0.4; 0),Mean (0.4; 1),Max (0.4; 1),Mean hits (0.4; 1),real fitness (0.4; 1),Time (0.4; 1),Mean (0.4; 2),Max (0.4; 2),Mean hits (0.4; 2),real fitness (0.4; 2),Time (0.4; 2),Mean (0.4; 3),Max (0.4; 3),Mean hits (0.4; 3),real fitness (0.4; 3),Time (0.4; 3),Mean (0.4; 4),Max (0.4; 4),Mean hits (0.4; 4),real fitness (0.4; 4),Time (0.4; 4),Mean (0.4; 5),Max (0.4; 5),Mean hits (0.4; 5),real fitness (0.4; 5),Time (0.4; 5),Mean (0.5; 0),Max (0.5; 0),Mean hits (0.5; 0),real fitness (0.5; 0),Time (0.5; 0),Mean (0.5; 1),Max (0.5; 1),Mean hits (0.5; 1),real fitness (0.5; 1),Time (0.5; 1),Mean (0.5; 2),Max (0.5; 2),Mean hits (0.5; 2),real fitness (0.5; 2),Time (0.5; 2),Mean (0.5; 3),Max (0.5; 3),Mean hits (0.5; 3),real fitness (0.5; 3),Time (0.5; 3),Mean (0.5; 4),Max (0.5; 4),Mean hits (0.5; 4),real fitness (0.5; 4),Time (0.5; 4),Mean (0.5; 5),Max (0.5; 5),Mean hits (0.5; 5),real fitness (0.5; 5),Time (0.5; 5)
Persistent GreedyDistance Algorithm,25.0,25,1.0,25,0.0016100406646728516,22.0,22,0.0,24,0.0024750232696533203,20.0,20,0.0,23,0.0036520957946777344,20.0,20,1.0,22,0.0033826828002929688,17.0,17,0.0,20,0.005880117416381836,15.0,15,1.0,20,0.006462812423706055,25.0,25,1.0,25,0.0020339488983154297,22.0,22,1.0,23,0.0022940635681152344,22.0,22,0.0,23,0.0027709007263183594,19.0,19,1.0,21,0.005396127700805664,18.0,18,0.0,20,0.0038208961486816406,18.0,18,0.0,20,0.004049062728881836,22.0,22,1.0,23,0.002701997756958008,23.0,23,1.0,23,0.0020210742950439453,17.0,17,1.0,20,0.004331111907958984,22.0,22,1.0,22,0.0026869773864746094,18.0,18,1.0,20,0.004433870315551758,16.0,16,0.0,18,0.005129098892211914,22.0,22,0.0,24,0.00150299072265625,22.0,22,1.0,24,0.002299785614013672,22.0,22,0.0,23,0.0032050609588623047,20.0,20,1.0,21,0.005641937255859375,16.0,16,0.0,19,0.006518125534057617,19.0,19,0.0,17,0.004313945770263672,24.0,24,0.0,24,0.0009958744049072266,21.0,21,0.0,21,0.0021638870239257812,20.0,20,1.0,20,0.0029959678649902344,17.0,17,0.0,16,0.00391387939453125,17.0,17,0.0,19,0.0071218013763427734,18.0,18,0.0,18,0.004860877990722656,18.0,18,1.0,20,0.003247976303100586,17.0,17,0.0,20,0.0033500194549560547,18.0,18,0.0,20,0.0037212371826171875,14.0,14,0.0,18,0.005465030670166016,21.0,21,1.0,21,0.00434422492980957,17.0,17,0.0,18,0.004098176956176758
GreedyTestimonies Algorithm,23.4,25,0.5,25,1.9478797912597657e-05,19.0,20,0.0,24,3.9005279541015624e-05,18.4,19,0.0,23,0.00011699199676513672,17.4,21,0.6,22,0.00014069080352783204,14.5,17,0.3,20,0.0004167079925537109,13.7,14,0.6,20,0.0005687952041625976,21.7,24,0.5,25,2.529621124267578e-05,20.3,21,1.0,23,6.587505340576172e-05,20.7,21,0.4,23,7.79867172241211e-05,16.9,19,0.5,21,0.00028400421142578126,16.3,18,0.0,20,0.0001737833023071289,16.9,19,0.2,20,0.0002493858337402344,19.9,21,1.0,23,4.858970642089844e-05,20.8,22,0.7,23,3.3402442932128905e-05,14.3,17,0.6,20,0.00015609264373779298,20.1,21,0.1,22,7.891654968261719e-05,15.4,19,0.3,20,0.0002730369567871094,15.5,17,0.0,18,0.0003033876419067383,21.7,23,0.7,24,2.4104118347167967e-05,21.6,23,0.8,24,4.749298095703125e-05,18.9,21,0.0,23,9.222030639648438e-05,17.3,19,0.9,21,0.00027589797973632814,14.2,15,0.0,19,0.0004897117614746094,17.4,18,0.5,17,0.0002164125442504883,23.3,24,0.0,24,1.468658447265625e-05,18.2,20,0.0,21,4.391670227050781e-05,16.3,19,0.6,20,9.789466857910157e-05,15.9,17,0.0,16,0.00018482208251953126,14.9,16,0.1,19,0.0006127834320068359,15.5,18,0.0,18,0.0002688169479370117,17.2,18,1.0,20,7.169246673583984e-05,16.1,19,0.0,20,8.268356323242188e-05,15.0,17,0.7,20,0.00012328624725341797,12.3,14,0.5,18,0.0003259897232055664,17.7,21,0.7,21,0.00022220611572265625,14.4,18,0.0,18,0.00018608570098876953
Genetic Algorithm,25.0,25,0.8,25,0.6494638204574585,23.4,24,0.5,24,0.6414922952651978,22.6,23,0.5,23,0.5365765810012817,22.0,22,1.0,22,0.7062668085098267,21.0,21,1.0,20,0.7373096942901611,20.0,20,1.0,20,0.7732743263244629,25.0,25,1.0,25,0.7245079040527344,24.0,24,1.0,23,0.7505215883255005,23.0,23,0.2,23,0.5556078910827636,20.8,21,0.7,21,0.7684742927551269,19.3,20,0.7,20,0.6135593175888061,20.0,20,0.9,20,0.6699934959411621,23.0,23,1.0,23,0.8050525903701782,23.0,23,0.9,23,0.6720530986785889,20.9,21,1.0,20,0.801747989654541,21.4,22,1.0,22,0.4726378917694092,20.0,20,1.0,20,0.7427440166473389,17.9,18,0.1,18,0.7611568212509155,23.4,24,1.0,24,0.6468629121780396,23.9,24,0.9,24,0.6750343084335327,22.8,23,0.6,23,0.6806751966476441,21.0,21,1.0,21,0.8390362024307251,18.9,19,0.9,19,0.8469436883926391,19.0,19,0.7,17,0.6348774909973145,24.0,24,0.3,24,0.5665544986724853,22.0,22,0.2,21,0.6172637939453125,19.5,20,0.0,20,0.6383255004882813,18.0,18,0.1,16,0.6585401058197021,20.0,20,0.3,19,0.7847331285476684,18.2,19,0.2,18,0.5123162746429444,20.0,20,0.6,20,0.8352577209472656,21.0,21,0.0,20,0.7460148096084595,21.6,22,0.2,20,0.786600399017334,17.5,18,0.5,18,0.8159251928329467,21.0,21,1.0,21,0.7527146100997925,18.0,18,0.0,18,0.665706205368042
Memetic Algorithm,25.0,25,0.9,25,1.0347912073135377,23.5,24,0.4,24,0.8679855108261109,22.5,23,0.5,23,0.8075436115264892,22.0,22,1.0,22,1.2856409072875976,21.0,21,1.0,20,1.6074697971343994,20.0,20,1.0,20,1.7212158918380738,25.0,25,1.0,25,1.129126000404358,24.0,24,1.0,23,1.4661227941513062,23.0,23,0.6,23,0.6208264350891113,20.9,21,0.7,21,1.4354631185531617,19.6,20,0.9,20,0.9485076904296875,20.0,20,1.0,20,1.0859052181243896,23.0,23,1.0,23,1.9684365034103393,23.0,23,1.0,23,1.2019214868545531,20.8,21,1.0,20,1.7245245933532716,21.4,22,1.0,22,0.5258300065994262,20.0,20,1.0,20,1.3475671052932738,18.0,18,0.2,18,1.5355846166610718,23.3,24,1.0,24,1.0170880794525146,23.8,24,0.9,24,0.9974004030227661,22.9,23,0.6,23,1.1251266717910766,21.0,21,1.0,21,1.9937321901321412,19.0,19,0.8,19,2.078394913673401,19.0,19,0.6,17,0.9569410085678101,24.0,24,0.2,24,0.6813482999801636,21.9,22,0.3,21,0.9744263172149659,19.5,20,0.2,20,0.9829765796661377,18.0,18,0.1,16,1.1672609806060792,20.0,20,0.2,19,1.545066475868225,18.2,19,0.2,18,0.6022375345230102,20.4,21,0.5,20,2.063145899772644,21.0,21,0.0,20,1.3323915004730225,21.9,22,0.0,20,2.062677097320557,17.8,18,0.3,18,1.9263805866241455,21.0,21,1.0,21,1.5111440181732179,18.0,18,0.1,18,1.0627322912216186
