I4,Mean #0,Max #0,Time #0,Mean #1,Max #1,Time #1,Mean #2,Max #2,Time #2,Mean #3,Max #3,Time #3,Mean #4,Max #4,Time #4,Mean #5,Max #5,Time #5,Mean #6,Max #6,Time #6,Mean #7,Max #7,Time #7,Mean #8,Max #8,Time #8,Mean #9,Max #9,Time #9,Mean #10,Max #10,Time #10,Mean #11,Max #11,Time #11,Mean #12,Max #12,Time #12,Mean #13,Max #13,Time #13,Mean #14,Max #14,Time #14,Mean #15,Max #15,Time #15,Mean #16,Max #16,Time #16,Mean #17,Max #17,Time #17,Mean #18,Max #18,Time #18,Mean #19,Max #19,Time #19,Mean #20,Max #20,Time #20,Mean #21,Max #21,Time #21,Mean #22,Max #22,Time #22,Mean #23,Max #23,Time #23,Mean #24,Max #24,Time #24,Mean #25,Max #25,Time #25,Mean #26,Max #26,Time #26,Mean #27,Max #27,Time #27,Mean #28,Max #28,Time #28,Mean #29,Max #29,Time #29,Mean #30,Max #30,Time #30,Mean #31,Max #31,Time #31,Mean #32,Max #32,Time #32,Mean #33,Max #33,Time #33,Mean #34,Max #34,Time #34,Mean #35,Max #35,Time #35,Mean #36,Max #36,Time #36,Mean #37,Max #37,Time #37,Mean #38,Max #38,Time #38,Mean #39,Max #39,Time #39,Mean #40,Max #40,Time #40,Mean #41,Max #41,Time #41,Mean #42,Max #42,Time #42,Mean #43,Max #43,Time #43,Mean #44,Max #44,Time #44,Mean #45,Max #45,Time #45,Mean #46,Max #46,Time #46,Mean #47,Max #47,Time #47,Mean #48,Max #48,Time #48,Mean #49,Max #49,Time #49,Mean #50,Max #50,Time #50,Mean #51,Max #51,Time #51,Mean #52,Max #52,Time #52,Mean #53,Max #53,Time #53,Mean #54,Max #54,Time #54,Mean #55,Max #55,Time #55,Mean #56,Max #56,Time #56,Mean #57,Max #57,Time #57,Mean #58,Max #58,Time #58,Mean #59,Max #59,Time #59,Mean #60,Max #60,Time #60,Mean #61,Max #61,Time #61,Mean #62,Max #62,Time #62,Mean #63,Max #63,Time #63,Mean #64,Max #64,Time #64,Mean #65,Max #65,Time #65,Mean #66,Max #66,Time #66,Mean #67,Max #67,Time #67,Mean #68,Max #68,Time #68,Mean #69,Max #69,Time #69,Mean #70,Max #70,Time #70,Mean #71,Max #71,Time #71,Mean #72,Max #72,Time #72,Mean #73,Max #73,Time #73,Mean #74,Max #74,Time #74,Mean #75,Max #75,Time #75,Mean #76,Max #76,Time #76,Mean #77,Max #77,Time #77,Mean #78,Max #78,Time #78,Mean #79,Max #79,Time #79,Mean #80,Max #80,Time #80,Mean #81,Max #81,Time #81,Mean #82,Max #82,Time #82,Mean #83,Max #83,Time #83,Mean #84,Max #84,Time #84,Mean #85,Max #85,Time #85,Mean #86,Max #86,Time #86,Mean #87,Max #87,Time #87,Mean #88,Max #88,Time #88,Mean #89,Max #89,Time #89,Mean #90,Max #90,Time #90,Mean #91,Max #91,Time #91,Mean #92,Max #92,Time #92,Mean #93,Max #93,Time #93,Mean #94,Max #94,Time #94,Mean #95,Max #95,Time #95,Mean #96,Max #96,Time #96,Mean #97,Max #97,Time #97,Mean #98,Max #98,Time #98,Mean #99,Max #99,Time #99
Persistent GreedyDistance Algorithm,34.0,34,15.818343162536621,32.0,32,15.842753887176514,36.0,36,15.299137592315674,36.0,36,15.602586507797241,33.0,33,16.725764274597168,38.0,38,16.465221405029297,31.0,31,16.460960149765015,32.0,32,17.17743444442749,33.0,33,16.156561851501465,37.0,37,15.694850444793701,32.0,32,15.765665054321289,27.0,27,16.69283127784729,32.0,32,16.65089511871338,36.0,36,14.42560338973999,32.0,32,15.27183485031128,36.0,36,13.903523445129395,37.0,37,18.559884071350098,33.0,33,14.320584297180176,31.0,31,16.471598625183105,39.0,39,16.15712857246399,41.0,41,15.410456418991089,32.0,32,16.31095266342163,36.0,36,15.144027471542358,30.0,30,15.88152527809143,38.0,38,16.370023488998413,36.0,36,16.38473868370056,34.0,34,17.14064908027649,40.0,40,16.272420167922974,33.0,33,15.26110291481018,35.0,35,16.13759136199951,30.0,30,16.281322956085205,41.0,41,14.639975786209106,29.0,29,16.569188117980957,35.0,35,14.643256664276123,35.0,35,16.482548475265503,34.0,34,16.053239345550537,31.0,31,15.035723447799683,33.0,33,16.184072971343994,32.0,32,17.507282972335815,30.0,30,16.362860441207886,35.0,35,18.181535243988037,33.0,33,15.087130546569824,30.0,30,17.77149486541748,37.0,37,15.472051620483398,31.0,31,16.103604555130005,30.0,30,16.2071053981781,33.0,33,15.896761178970337,35.0,35,16.86445116996765,42.0,42,16.743528604507446,37.0,37,16.433066844940186,34.0,34,16.705591678619385,30.0,30,16.56542134284973,28.0,28,15.299657583236694,31.0,31,16.04404592514038,35.0,35,15.46882438659668,40.0,40,16.387827396392822,28.0,28,14.823641061782837,43.0,43,14.471381187438965,32.0,32,16.939013719558716,44.0,44,16.733729600906372,36.0,36,16.28489351272583,32.0,32,17.813836812973022,34.0,34,16.420239210128784,28.0,28,17.85529589653015,31.0,31,18.026460886001587,34.0,34,16.32225728034973,37.0,37,15.857309579849243,26.0,26,16.897423028945923,33.0,33,16.04334568977356,31.0,31,17.76029109954834,32.0,32,15.855601787567139,38.0,38,16.107311964035034,34.0,34,17.19098401069641,36.0,36,17.038302183151245,30.0,30,16.83825421333313,39.0,39,15.863677263259888,30.0,30,16.116002559661865,29.0,29,16.094403505325317,37.0,37,16.40889072418213,34.0,34,15.553465366363525,31.0,31,18.174561500549316,34.0,34,16.988675117492676,29.0,29,15.457019567489624,36.0,36,16.374754428863525,32.0,32,15.924705982208252,43.0,43,16.744185209274292,27.0,27,16.4999520778656,29.0,29,19.037708044052124,37.0,37,16.012264728546143,29.0,29,16.327619791030884,33.0,33,16.49562358856201,31.0,31,16.662609338760376,42.0,42,17.245817184448242,38.0,38,16.682593822479248,36.0,36,16.168999910354614,42.0,42,16.44656205177307,36.0,36,16.1283175945282,24.0,24,16.18671751022339,26.0,26,16.066458463668823,30.0,30,16.82931685447693
GreedyTestimonies Algorithm,30.1,37,69.47790594100952,33.9,38,74.1618798494339,30.9,37,75.90183911323547,33.5,40,68.59048297405243,30.9,35,77.63222267627717,38.5,40,77.45826992988586,24.6,28,80.27502224445342,33.2,36,89.43993647098542,37.0,40,75.82564315795898,33.5,38,76.48193454742432,26.8,31,71.9572046995163,19.9,24,80.22894299030304,28.7,33,80.48976037502288,27.5,35,65.08799042701722,29.5,32,68.42479026317596,27.4,36,58.38669457435608,31.9,37,89.65801248550414,28.3,30,59.54722356796265,27.6,31,76.49641578197479,30.0,33,77.59799273014069,35.8,40,66.41397905349731,30.3,33,83.25540144443512,34.9,39,68.33760261535645,29.6,33,72.2900015592575,28.4,36,72.09543018341064,32.4,35,77.26099689006806,33.0,38,83.41918008327484,27.6,33,78.35913324356079,31.2,34,69.57515799999237,31.2,34,73.99716148376464,32.3,40,74.80727479457855,41.8,46,66.13703188896179,26.4,32,77.15238568782806,33.4,39,63.60102496147156,24.8,26,74.0290812253952,26.9,31,75.3125871181488,27.4,40,72.22843928337097,32.3,35,75.4434002161026,25.7,30,89.50628621578217,29.9,31,78.97226271629333,28.8,36,90.07085382938385,25.7,30,69.79787549972534,26.1,29,90.31491928100586,29.9,34,70.21115276813507,24.3,34,80.06368706226348,32.2,36,74.62227561473847,25.2,29,79.35268914699554,27.9,30,81.55448033809662,34.7,36,82.13301212787628,27.9,32,76.79932897090912,28.3,29,75.85828816890717,25.4,30,77.62848706245423,28.8,32,64.86351189613342,28.0,29,72.70781509876251,32.2,34,64.98496422767639,32.2,41,70.63820333480835,30.3,31,63.394183945655826,35.7,39,57.689208436012265,30.9,34,79.19301209449767,36.3,39,73.2467547416687,29.0,34,68.78434147834778,28.5,31,83.97580587863922,24.5,30,70.30049974918366,27.7,30,86.8551655292511,24.4,28,84.32458717823029,33.2,36,65.52615962028503,29.6,37,74.98633890151977,24.6,30,80.1815925359726,30.2,35,70.75333814620971,26.0,34,80.5359813928604,29.6,31,67.63316907882691,30.5,32,68.72656807899475,31.5,37,75.33609094619752,30.8,37,78.45144350528717,25.5,31,80.8457239151001,30.8,35,65.11547963619232,27.2,34,72.29079258441925,28.2,33,76.07508218288422,34.8,39,67.09202873706818,29.4,37,65.95588610172271,31.5,35,87.7982572555542,27.7,30,76.3747850894928,24.8,28,67.66494657993317,28.1,29,69.97476789951324,26.7,35,66.59752509593963,36.5,38,71.23483028411866,24.8,34,74.49473094940186,30.7,35,81.94721179008484,34.8,39,69.43317210674286,23.0,25,71.84215338230133,32.2,35,74.00759720802307,37.6,43,71.58407983779907,32.1,36,79.65542488098144,31.2,35,75.53619992733002,35.1,37,70.91621198654175,32.0,36,68.70404310226441,36.7,42,77.43134653568268,30.1,32,70.01341104507446,21.7,33,72.83374543190003,28.1,33,75.27219734191894
Genetic Algorithm,50.0,50,16.048619866371155,56.7,58,16.50005805492401,54.8,58,17.17159628868103,55.0,55,16.677926659584045,51.4,52,16.74573576450348,56.1,57,17.42933762073517,50.8,53,17.78935694694519,51.0,52,17.216299653053284,52.2,53,17.336288809776306,58.8,61,17.864204168319702,53.3,56,16.884861707687378,45.5,46,16.175509572029114,51.5,52,17.36390709877014,51.9,54,15.214632868766785,50.0,52,16.95645773410797,53.6,56,15.306228637695312,55.7,56,19.185843110084534,47.2,48,17.114232182502747,51.9,53,17.6634042263031,60.4,63,18.63697099685669,60.5,61,18.00653386116028,49.0,50,18.035942673683167,57.7,58,16.29725456237793,50.3,53,16.40049421787262,54.0,55,18.406432032585144,49.8,53,16.295325875282288,51.7,54,17.452589988708496,50.5,51,17.82245934009552,53.3,56,16.78802478313446,56.0,57,18.018096804618835,52.7,54,18.395070791244507,59.5,62,16.64245569705963,51.9,54,18.2749160528183,56.6,57,17.33909821510315,54.7,55,18.133872032165527,51.9,54,17.8384348154068,49.7,50,15.834904551506042,52.9,57,17.998589396476746,50.7,51,18.061893105506897,46.5,47,17.800044655799866,52.6,53,18.104851484298706,50.9,52,16.073662161827087,48.6,49,17.650299906730652,55.4,60,16.98900806903839,50.2,51,17.11624300479889,56.5,58,17.22207224369049,50.6,53,16.112870454788208,52.1,54,17.467934489250183,62.2,64,17.511406302452087,51.4,52,18.02699649333954,51.3,52,16.00648260116577,48.2,49,15.184566497802734,49.9,51,14.942645072937012,50.9,52,14.732683658599854,54.4,55,14.994548797607422,56.0,56,16.86166489124298,49.9,51,15.119402289390564,60.6,61,16.40359354019165,47.0,48,15.615599036216736,58.4,60,16.111229062080383,52.4,55,15.658991932868958,55.0,56,16.58363711833954,52.7,55,15.875515937805176,47.9,49,16.26976788043976,45.7,48,16.504263520240784,56.6,57,16.41145968437195,54.0,58,14.444646954536438,43.3,44,16.017342448234558,54.2,55,16.48895800113678,50.7,53,16.20998251438141,48.8,49,15.977712035179138,55.0,55,15.81753933429718,53.9,56,16.993712425231934,54.3,56,16.255696654319763,49.0,53,15.54038119316101,52.7,55,14.658806681632996,53.0,54,15.539689302444458,50.9,51,15.403732657432556,55.3,56,17.25502634048462,51.1,52,15.622186660766602,55.4,58,17.13250768184662,52.5,53,16.58928418159485,53.0,53,16.00376534461975,57.8,59,16.042590260505676,51.8,53,16.331641912460327,60.8,63,17.192118644714355,44.7,46,16.405023455619812,51.5,52,16.377768754959106,54.9,56,15.333497405052185,47.5,49,15.956605792045593,53.3,54,16.361402988433838,54.9,56,16.348511219024658,57.3,59,17.339869379997253,56.9,60,15.621202945709229,56.0,56,16.435356616973877,55.3,56,17.332398533821106,53.0,55,16.74980401992798,46.9,50,16.177887558937073,49.4,51,15.137392282485962,49.4,51,16.102001905441284
Memetic Algorithm,54.0,54,436.04379868507385,59.9,61,412.41196036338806,60.8,62,408.6440179347992,57.1,58,445.16380083560944,52.6,54,439.3567568063736,62.8,64,432.66366493701935,57.7,58,455.7982106208801,54.5,55,433.27941060066223,57.5,59,457.9563888311386,60.4,62,436.16053438186646,56.9,58,411.59215795993805,51.0,52,391.639093875885,53.3,54,419.63215267658234,55.2,57,344.61899268627167,55.1,56,430.8812017440796,57.5,58,358.0908056497574,51.1,53,456.4192439317703,53.7,54,415.4976781606674,58.3,60,456.1968035697937,61.4,62,491.2776937484741,63.7,64,472.26234900951385,54.0,57,459.08761262893677,59.9,61,440.0359548330307,54.8,56,409.5689764022827,58.5,59,445.0657671689987,55.6,56,446.03437662124634,57.6,58,478.3836917877197,55.4,57,440.1295326948166,59.8,61,402.8292886018753,57.8,60,432.4704415798187,57.4,58,458.18002581596375,61.9,62,425.17723321914673,50.4,51,412.1536053419113,57.2,58,462.09883427619934,56.6,57,443.7388767004013,54.5,55,419.66421151161194,55.7,58,419.9483331441879,54.2,56,467.6998094320297,54.2,56,452.86956918239594,52.0,52,453.98932361602783,55.2,56,478.221298456192,55.2,56,358.297509431839,51.6,52,431.11813247203827,57.0,58,430.4669907093048,53.1,54,388.85562002658844,60.7,61,460.44825410842896,54.0,54,390.00197982788086,56.1,57,426.5067172050476,62.5,63,441.4690535068512,55.1,56,448.824423789978,56.0,56,413.12794256210327,52.9,55,387.7089378833771,53.9,55,387.8464559316635,55.4,57,366.1184159517288,56.0,57,400.4540069103241,58.1,59,421.6438660621643,54.8,57,393.1913141012192,66.2,67,420.95338237285614,56.0,58,366.1094914674759,60.0,60,425.6777126789093,57.3,61,386.5899931192398,59.6,61,442.2697253227234,57.5,59,428.683722615242,53.0,53,427.4422174692154,50.3,53,416.6785663366318,59.6,62,397.4587091207504,59.0,59,380.4456567764282,47.6,48,404.1030238866806,56.1,58,377.3480979204178,53.3,54,400.93304908275604,54.1,55,385.9591954946518,56.6,59,433.79516434669495,57.3,58,441.06603717803955,56.6,59,422.48012018203735,55.5,58,353.23116528987885,53.4,54,367.69895350933075,53.9,55,337.27737736701965,50.3,52,363.7108328342438,57.6,58,438.1421414613724,57.9,59,360.99543058872223,58.4,59,472.0575124025345,55.4,56,417.7751417160034,54.1,56,404.6408873796463,57.3,58,405.15167450904846,53.8,55,393.5383982658386,60.9,61,414.6198500394821,53.3,54,411.88797664642334,55.8,58,423.9290895462036,56.8,57,360.5488586425781,49.7,50,379.14669477939606,56.4,57,414.8433989286423,60.6,61,392.4712349176407,64.3,66,440.2215459346771,57.5,60,417.8864473104477,63.0,65,456.8995614051819,57.9,59,389.27592968940735,59.8,60,414.9964212179184,49.8,51,380.0998225212097,52.0,53,367.96819162368774,53.7,55,400.9391610622406
