I4,Mean #0,Max #0,Time #0,Mean #1,Max #1,Time #1,Mean #2,Max #2,Time #2,Mean #3,Max #3,Time #3,Mean #4,Max #4,Time #4,Mean #5,Max #5,Time #5,Mean #6,Max #6,Time #6,Mean #7,Max #7,Time #7,Mean #8,Max #8,Time #8,Mean #9,Max #9,Time #9,Mean #10,Max #10,Time #10,Mean #11,Max #11,Time #11,Mean #12,Max #12,Time #12,Mean #13,Max #13,Time #13,Mean #14,Max #14,Time #14,Mean #15,Max #15,Time #15,Mean #16,Max #16,Time #16,Mean #17,Max #17,Time #17,Mean #18,Max #18,Time #18,Mean #19,Max #19,Time #19,Mean #20,Max #20,Time #20,Mean #21,Max #21,Time #21,Mean #22,Max #22,Time #22,Mean #23,Max #23,Time #23,Mean #24,Max #24,Time #24,Mean #25,Max #25,Time #25,Mean #26,Max #26,Time #26,Mean #27,Max #27,Time #27,Mean #28,Max #28,Time #28,Mean #29,Max #29,Time #29,Mean #30,Max #30,Time #30,Mean #31,Max #31,Time #31,Mean #32,Max #32,Time #32,Mean #33,Max #33,Time #33,Mean #34,Max #34,Time #34,Mean #35,Max #35,Time #35,Mean #36,Max #36,Time #36,Mean #37,Max #37,Time #37,Mean #38,Max #38,Time #38,Mean #39,Max #39,Time #39,Mean #40,Max #40,Time #40,Mean #41,Max #41,Time #41,Mean #42,Max #42,Time #42,Mean #43,Max #43,Time #43,Mean #44,Max #44,Time #44,Mean #45,Max #45,Time #45,Mean #46,Max #46,Time #46,Mean #47,Max #47,Time #47,Mean #48,Max #48,Time #48,Mean #49,Max #49,Time #49,Mean #50,Max #50,Time #50,Mean #51,Max #51,Time #51,Mean #52,Max #52,Time #52,Mean #53,Max #53,Time #53,Mean #54,Max #54,Time #54,Mean #55,Max #55,Time #55,Mean #56,Max #56,Time #56,Mean #57,Max #57,Time #57,Mean #58,Max #58,Time #58,Mean #59,Max #59,Time #59,Mean #60,Max #60,Time #60,Mean #61,Max #61,Time #61,Mean #62,Max #62,Time #62,Mean #63,Max #63,Time #63,Mean #64,Max #64,Time #64,Mean #65,Max #65,Time #65,Mean #66,Max #66,Time #66,Mean #67,Max #67,Time #67,Mean #68,Max #68,Time #68,Mean #69,Max #69,Time #69,Mean #70,Max #70,Time #70,Mean #71,Max #71,Time #71,Mean #72,Max #72,Time #72,Mean #73,Max #73,Time #73,Mean #74,Max #74,Time #74,Mean #75,Max #75,Time #75,Mean #76,Max #76,Time #76,Mean #77,Max #77,Time #77,Mean #78,Max #78,Time #78,Mean #79,Max #79,Time #79,Mean #80,Max #80,Time #80,Mean #81,Max #81,Time #81,Mean #82,Max #82,Time #82,Mean #83,Max #83,Time #83,Mean #84,Max #84,Time #84,Mean #85,Max #85,Time #85,Mean #86,Max #86,Time #86,Mean #87,Max #87,Time #87,Mean #88,Max #88,Time #88,Mean #89,Max #89,Time #89,Mean #90,Max #90,Time #90,Mean #91,Max #91,Time #91,Mean #92,Max #92,Time #92,Mean #93,Max #93,Time #93,Mean #94,Max #94,Time #94,Mean #95,Max #95,Time #95,Mean #96,Max #96,Time #96,Mean #97,Max #97,Time #97,Mean #98,Max #98,Time #98,Mean #99,Max #99,Time #99
Genetic Algorithm,54.1,57,20.05815968513489,57.1,59,20.058237409591676,54.9,59,20.081953859329225,52.9,56,20.077420353889465,51.4,56,20.08537530899048,58.6,60,20.08662552833557,53.8,56,20.086441898345946,52.0,54,20.09792160987854,55.2,58,20.070838809013367,59.0,62,20.092814373970032,52.8,55,20.06440305709839,49.5,52,20.096976113319396,51.2,55,20.06771914958954,54.3,57,20.057349729537965,53.5,56,20.078923892974853,56.7,60,20.04701852798462,53.0,55,20.06584529876709,50.9,54,20.065590381622314,52.5,57,20.098954963684083,57.0,59,20.092732977867126,61.5,64,20.091900849342345,50.2,54,20.05881350040436,57.7,60,20.06991539001465,52.0,55,20.078116369247436,55.1,59,20.099923634529112,53.1,56,20.075932145118713,53.2,57,20.086577105522156,51.3,54,20.105112385749816,54.8,58,20.082536101341248,56.8,59,20.07795407772064,53.2,56,20.10700833797455,58.4,61,20.060499334335326,49.0,52,20.085809659957885,55.6,61,20.100164794921874,54.1,56,20.080832624435423,52.4,57,20.0792014837265,52.5,56,20.071959447860717,51.3,55,20.06519341468811,46.3,49,20.113364124298094,49.4,53,20.09388313293457,53.2,57,20.10047504901886,51.8,55,20.059396147727966,50.4,57,20.094371056556703,56.7,59,20.060953640937804,53.5,58,20.043239808082582,54.1,57,20.072335505485533,53.5,56,20.07075345516205,52.7,56,20.09886016845703,60.8,66,20.091724395751953,54.3,57,20.09503047466278,55.1,58,20.08513288497925,49.4,51,20.081245064735413,53.5,56,20.063635420799255,52.8,55,20.08216710090637,54.1,56,20.06893162727356,58.8,64,20.077600955963135,50.5,52,20.07580304145813,63.0,66,20.329685711860655,52.7,57,20.10459656715393,56.6,59,20.083836460113524,56.7,59,20.092848038673402,55.3,59,20.098530864715578,53.5,56,20.058589601516722,48.0,51,20.0701712846756,47.8,49,20.089831924438478,56.2,60,20.076435351371764,53.9,55,20.078480195999145,47.5,50,20.08683922290802,50.4,53,20.07630376815796,50.9,53,20.09868392944336,51.9,58,20.092492556571962,53.6,58,20.0779088973999,51.8,54,20.105705547332764,52.2,56,20.084589338302614,50.6,53,20.071276164054872,52.6,56,20.088287043571473,54.1,57,20.067617201805113,51.0,53,20.06890833377838,56.9,60,20.10044319629669,51.4,56,20.06692044734955,53.5,56,20.069602370262146,54.9,58,20.089764618873595,51.6,54,20.100071501731872,56.5,61,20.077032589912413,53.9,57,20.068447375297545,59.4,60,20.069142818450928,48.0,50,20.06258041858673,53.2,56,20.076556825637816,55.8,59,20.05922636985779,50.2,53,20.078361439704896,53.9,57,20.0751594543457,57.9,63,20.096518993377686,60.0,63,20.098562932014467,56.3,60,20.10698983669281,55.0,60,20.079416155815125,56.2,58,20.112459206581114,55.4,60,20.060732913017272,45.4,47,20.0749751329422,51.5,54,20.071954894065858,51.7,54,20.06535656452179
Memetic Algorithm,41.1,43,21.787246227264404,42.5,44,22.9165212392807,43.3,47,21.961144614219666,39.6,42,22.217217922210693,39.4,45,23.324679255485535,44.8,47,21.724691820144653,39.8,42,21.489029955863952,39.3,42,21.035965347290038,43.3,47,21.651562809944153,43.1,46,22.03538520336151,39.2,41,21.38528220653534,34.6,40,21.255984115600587,38.4,41,21.872959184646607,40.6,43,21.210902714729308,41.7,44,22.15435917377472,41.2,43,22.53360779285431,42.0,46,21.831612706184387,41.6,44,21.092089414596558,39.6,41,22.03469889163971,46.5,49,22.19230227470398,49.2,51,21.74984757900238,39.4,43,21.575874066352846,46.5,50,22.240538144111632,38.0,40,21.552545738220214,42.3,44,21.147884178161622,42.5,45,21.36283223628998,41.3,43,22.25133686065674,43.0,47,21.763457894325256,40.7,42,21.220689392089845,43.7,45,21.812437844276428,40.0,43,21.98257999420166,45.7,49,21.378725695610047,37.6,40,21.924875950813295,42.0,46,21.72768223285675,41.0,43,22.044513607025145,42.7,45,21.668466567993164,36.6,40,22.099810671806335,38.2,40,21.46810636520386,33.9,37,21.352628326416017,37.9,41,21.784927749633788,38.1,41,22.48423752784729,39.0,40,20.998678159713744,39.0,42,21.09687180519104,41.3,43,20.90243043899536,39.6,43,21.78699085712433,38.3,41,22.042219400405884,40.9,45,22.329895186424256,40.5,43,22.015901017189027,46.4,49,21.888602781295777,43.8,46,21.85526578426361,41.4,45,21.50618395805359,35.6,38,21.9659259557724,39.6,42,22.180329179763795,40.0,44,21.539142465591432,42.9,46,21.829860758781432,44.9,48,22.79735062122345,37.3,39,21.348365569114684,50.4,53,22.452413463592528,40.3,43,21.336709904670716,46.4,48,21.838892269134522,42.9,47,20.800620007514954,41.0,43,22.129500246047975,40.2,43,22.144181871414183,36.3,40,21.137570953369142,35.6,38,21.916429948806762,43.9,47,22.36885530948639,43.0,45,21.125791811943053,35.4,41,21.965654420852662,42.2,45,21.48786129951477,39.0,40,21.63098406791687,36.4,39,22.094816064834596,42.7,46,21.858611488342284,39.4,43,21.894387626647948,38.0,39,21.83231110572815,36.9,39,22.558975410461425,41.7,44,20.977516293525696,38.7,42,21.390743947029115,38.0,40,21.449749994277955,44.5,49,22.456375622749327,40.4,42,21.31610596179962,39.5,42,21.809256815910338,40.9,45,21.87505989074707,36.7,39,21.813584566116333,44.2,48,22.06841938495636,39.0,41,21.81513366699219,50.5,53,21.223999500274658,34.5,37,21.705963921546935,39.0,40,20.87898075580597,44.0,46,21.507449340820312,35.4,39,21.417750239372253,41.9,43,22.53909010887146,41.1,42,22.44122416973114,47.1,50,21.254362607002257,43.1,45,21.66978006362915,41.4,43,21.05650725364685,47.5,49,21.04938871860504,42.1,45,21.4978618144989,30.7,34,21.65559720993042,37.3,41,21.48267526626587,37.6,42,21.96369352340698
