I2,Mean #0,Max #0,Time #0,Mean #1,Max #1,Time #1,Mean #2,Max #2,Time #2,Mean #3,Max #3,Time #3,Mean #4,Max #4,Time #4,Mean #5,Max #5,Time #5,Mean #6,Max #6,Time #6,Mean #7,Max #7,Time #7,Mean #8,Max #8,Time #8,Mean #9,Max #9,Time #9,Mean #10,Max #10,Time #10,Mean #11,Max #11,Time #11,Mean #12,Max #12,Time #12,Mean #13,Max #13,Time #13,Mean #14,Max #14,Time #14,Mean #15,Max #15,Time #15,Mean #16,Max #16,Time #16,Mean #17,Max #17,Time #17,Mean #18,Max #18,Time #18,Mean #19,Max #19,Time #19,Mean #20,Max #20,Time #20,Mean #21,Max #21,Time #21,Mean #22,Max #22,Time #22,Mean #23,Max #23,Time #23,Mean #24,Max #24,Time #24,Mean #25,Max #25,Time #25,Mean #26,Max #26,Time #26,Mean #27,Max #27,Time #27,Mean #28,Max #28,Time #28,Mean #29,Max #29,Time #29,Mean #30,Max #30,Time #30,Mean #31,Max #31,Time #31,Mean #32,Max #32,Time #32,Mean #33,Max #33,Time #33,Mean #34,Max #34,Time #34,Mean #35,Max #35,Time #35,Mean #36,Max #36,Time #36,Mean #37,Max #37,Time #37,Mean #38,Max #38,Time #38,Mean #39,Max #39,Time #39,Mean #40,Max #40,Time #40,Mean #41,Max #41,Time #41,Mean #42,Max #42,Time #42,Mean #43,Max #43,Time #43,Mean #44,Max #44,Time #44,Mean #45,Max #45,Time #45,Mean #46,Max #46,Time #46,Mean #47,Max #47,Time #47,Mean #48,Max #48,Time #48,Mean #49,Max #49,Time #49,Mean #50,Max #50,Time #50,Mean #51,Max #51,Time #51,Mean #52,Max #52,Time #52,Mean #53,Max #53,Time #53,Mean #54,Max #54,Time #54,Mean #55,Max #55,Time #55,Mean #56,Max #56,Time #56,Mean #57,Max #57,Time #57,Mean #58,Max #58,Time #58,Mean #59,Max #59,Time #59,Mean #60,Max #60,Time #60,Mean #61,Max #61,Time #61,Mean #62,Max #62,Time #62,Mean #63,Max #63,Time #63,Mean #64,Max #64,Time #64,Mean #65,Max #65,Time #65,Mean #66,Max #66,Time #66,Mean #67,Max #67,Time #67,Mean #68,Max #68,Time #68,Mean #69,Max #69,Time #69,Mean #70,Max #70,Time #70,Mean #71,Max #71,Time #71,Mean #72,Max #72,Time #72,Mean #73,Max #73,Time #73,Mean #74,Max #74,Time #74,Mean #75,Max #75,Time #75,Mean #76,Max #76,Time #76,Mean #77,Max #77,Time #77,Mean #78,Max #78,Time #78,Mean #79,Max #79,Time #79,Mean #80,Max #80,Time #80,Mean #81,Max #81,Time #81,Mean #82,Max #82,Time #82,Mean #83,Max #83,Time #83,Mean #84,Max #84,Time #84,Mean #85,Max #85,Time #85,Mean #86,Max #86,Time #86,Mean #87,Max #87,Time #87,Mean #88,Max #88,Time #88,Mean #89,Max #89,Time #89,Mean #90,Max #90,Time #90,Mean #91,Max #91,Time #91,Mean #92,Max #92,Time #92,Mean #93,Max #93,Time #93,Mean #94,Max #94,Time #94,Mean #95,Max #95,Time #95,Mean #96,Max #96,Time #96,Mean #97,Max #97,Time #97,Mean #98,Max #98,Time #98,Mean #99,Max #99,Time #99
Persistent GreedyDistance Algorithm,48.0,48,0.14141178131103516,51.0,51,0.15786218643188477,41.0,41,0.10088610649108887,78.0,78,0.1891498565673828,56.0,56,0.1414804458618164,61.0,61,0.12597274780273438,39.0,39,0.16457915306091309,45.0,45,0.13243341445922852,40.0,40,0.15178298950195312,50.0,50,0.17128896713256836,60.0,60,0.13651633262634277,63.0,63,0.15661191940307617,45.0,45,0.1441354751586914,33.0,33,0.12363696098327637,30.0,30,0.11488866806030273,54.0,54,0.15374493598937988,42.0,42,0.1164860725402832,42.0,42,0.1641995906829834,39.0,39,0.12469625473022461,51.0,51,0.12742185592651367,65.0,65,0.15423250198364258,45.0,45,0.14100313186645508,63.0,63,0.18744587898254395,50.0,50,0.17076611518859863,46.0,46,0.11591148376464844,49.0,49,0.13876819610595703,46.0,46,0.13671302795410156,37.0,37,0.10230350494384766,58.0,58,0.18017244338989258,52.0,52,0.1602029800415039,38.0,38,0.11867856979370117,50.0,50,0.13809967041015625,36.0,36,0.1423790454864502,40.0,40,0.1392059326171875,45.0,45,0.13530325889587402,38.0,38,0.12997007369995117,40.0,40,0.13287138938903809,42.0,42,0.10969710350036621,44.0,44,0.11979150772094727,45.0,45,0.1525731086730957,57.0,57,0.1303253173828125,34.0,34,0.10076236724853516,56.0,56,0.159621000289917,47.0,47,0.14919328689575195,45.0,45,0.1115412712097168,47.0,47,0.12696433067321777,45.0,45,0.17418217658996582,43.0,43,0.1106877326965332,35.0,35,0.09506702423095703,57.0,57,0.12812376022338867,37.0,37,0.13303589820861816,56.0,56,0.11800217628479004,39.0,39,0.11966466903686523,54.0,54,0.1611473560333252,41.0,41,0.12613296508789062,40.0,40,0.10259079933166504,38.0,38,0.13154006004333496,57.0,57,0.16073203086853027,50.0,50,0.17171931266784668,38.0,38,0.13644194602966309,46.0,46,0.1308736801147461,58.0,58,0.12233448028564453,61.0,61,0.14805150032043457,44.0,44,0.15448570251464844,47.0,47,0.16005682945251465,54.0,54,0.14147663116455078,47.0,47,0.11275601387023926,31.0,31,0.10518431663513184,40.0,40,0.14128470420837402,44.0,44,0.15375900268554688,33.0,33,0.11819648742675781,52.0,52,0.11150074005126953,38.0,38,0.10985565185546875,45.0,45,0.145003080368042,53.0,53,0.15542936325073242,65.0,65,0.1422560214996338,45.0,45,0.12619280815124512,45.0,45,0.11816096305847168,50.0,50,0.1891343593597412,56.0,56,0.18519043922424316,42.0,42,0.1081845760345459,35.0,35,0.13132619857788086,34.0,34,0.10071039199829102,27.0,27,0.0815422534942627,49.0,49,0.14858675003051758,46.0,46,0.15431904792785645,48.0,48,0.16594219207763672,37.0,37,0.11793303489685059,47.0,47,0.13355064392089844,47.0,47,0.15819263458251953,51.0,51,0.1294548511505127,45.0,45,0.12192773818969727,47.0,47,0.14081597328186035,47.0,47,0.11903953552246094,53.0,53,0.1497194766998291,47.0,47,0.13322854042053223,52.0,52,0.125352144241333,39.0,39,0.11570453643798828,42.0,42,0.13421201705932617,47.0,47,0.12601709365844727
GreedyTestimonies Algorithm,37.2,42,1.6619683980941773,31.8,42,1.6806609392166139,32.7,36,1.2798590421676637,34.5,53,1.73226797580719,32.3,45,1.3246925592422485,35.0,46,1.0297403573989867,27.5,38,1.3944620847702027,26.3,35,1.3086947679519654,25.9,35,1.3715844869613647,30.3,36,1.6436121225357057,39.6,41,1.5552481174468995,23.9,31,1.0813400030136109,24.6,29,1.5433004379272461,20.6,24,1.3112501144409179,23.1,33,1.1857713460922241,30.5,37,1.3911765575408936,27.6,35,1.2903157234191895,29.4,36,1.4134613275527954,27.8,31,1.5603479623794556,28.2,43,1.2452516078948974,31.3,52,1.5496650218963623,26.1,29,1.3534489870071411,44.9,60,2.084142780303955,48.3,55,2.3453439235687257,22.1,37,1.218570303916931,33.7,43,1.2489752531051637,27.9,38,1.1378525257110597,35.9,40,1.481653356552124,32.0,42,1.615451693534851,36.0,47,2.23943030834198,23.8,33,1.076601791381836,29.2,32,1.3834699153900147,20.4,29,1.1796778678894042,34.9,41,1.5776350259780885,23.1,31,1.42537100315094,21.0,28,1.4737468242645264,25.0,34,1.3738241910934448,31.6,41,1.0270033359527588,30.8,44,1.1475474119186402,28.8,34,1.3609548568725587,41.8,48,2.0795389652252196,29.4,40,1.202073574066162,42.4,53,1.7347375869750976,30.5,39,1.3999456644058228,29.0,45,1.1100436925888062,41.1,45,1.664807105064392,26.8,42,1.4420604944229125,30.5,40,1.1561015367507934,26.1,32,0.8210536718368531,33.1,46,1.180868673324585,19.1,34,1.053795838356018,23.1,31,1.0198897123336792,29.2,37,1.1522677421569825,37.7,48,2.0602912425994875,33.1,42,1.4840144872665406,25.8,32,0.8911009073257447,23.1,35,1.2215346336364745,41.4,61,1.8735252618789673,22.6,26,1.1437757730484008,27.6,36,1.3518809080123901,28.2,42,1.2357816219329834,36.4,46,1.3826380968093872,43.6,59,1.487432098388672,28.5,37,1.5390944480895996,27.8,37,1.2903108596801758,32.5,39,1.3852720499038695,37.0,42,1.094052267074585,18.5,31,0.8019487857818604,26.3,38,1.4897742033004762,30.6,40,1.188138222694397,25.6,36,1.1795182704925538,37.3,43,1.1380584955215454,24.3,29,1.0262108087539672,27.0,34,1.144377088546753,30.1,54,1.4831583738327025,26.3,40,1.1629180908203125,24.5,32,1.2633604049682616,28.8,39,1.2178776502609252,33.8,40,1.6540827751159668,43.0,54,1.9344679355621337,27.4,36,0.9086326360702515,20.8,29,1.295572566986084,29.9,37,0.8471360445022583,19.5,24,0.5885126113891601,25.7,34,1.1682841062545777,27.7,42,1.4658065795898438,45.4,54,2.0578755140304565,27.2,37,1.181420922279358,28.5,38,1.3501026153564453,29.1,37,1.4719735860824585,23.2,38,1.0698961019515991,19.6,26,0.9810148000717163,39.0,49,1.3334429502487182,36.1,47,1.2637718439102172,32.8,39,1.6107194900512696,25.6,31,1.1525478124618531,31.0,34,1.3692151069641114,29.9,42,1.0613144159317016,29.6,48,1.4911167860031127,25.4,32,1.514661955833435
Genetic Algorithm,62.2,64,1.4627007007598878,63.0,63,1.4758255004882812,57.1,60,1.3953339815139771,81.4,83,1.5725790023803712,61.5,66,1.98377079963684,60.4,62,1.503286027908325,58.9,61,1.4791139841079712,60.0,60,1.4131280183792114,56.2,58,1.4662736892700194,60.1,61,1.4527683019638062,73.7,74,1.5470651149749757,69.5,73,1.5902859687805175,55.7,56,1.5041638135910034,46.0,48,1.3801688194274901,49.8,52,1.388050389289856,71.9,74,1.566180205345154,52.8,53,1.3841908931732179,58.2,59,1.462321925163269,63.1,64,1.525612473487854,59.0,63,1.464980387687683,67.0,69,1.586021113395691,60.3,62,1.4512940168380737,68.5,72,1.5773144245147706,72.8,74,1.5925381898880004,48.0,48,1.4147130966186523,58.3,61,1.4711918830871582,61.7,64,1.5312663793563843,59.4,61,1.407841110229492,67.4,69,1.619299292564392,65.3,67,1.5626680850982666,51.3,52,1.3456092834472657,67.0,68,1.480648136138916,56.0,58,1.4515661001205444,57.1,60,1.4770839929580688,60.9,61,1.4586432218551635,50.7,54,1.4319435119628907,60.5,61,1.4583591938018798,50.6,53,1.349213433265686,55.8,58,1.3803054094314575,65.3,68,1.4648118019104004,63.4,65,1.533611798286438,55.6,56,1.3878278255462646,69.0,72,1.5678415298461914,68.3,71,1.5248619079589845,61.7,63,2.0810340166092,62.3,63,1.4878475189208984,58.1,60,1.4591334819793702,59.0,61,1.4102885007858277,52.6,53,1.3035896062850951,64.4,65,1.5215326786041259,55.2,56,1.435035800933838,62.2,63,1.4070176601409912,54.4,55,1.3804548978805542,66.5,69,1.5048293113708495,63.8,65,1.4379311323165893,49.0,53,1.3585441827774047,47.8,50,1.4033167123794557,65.4,66,1.520586609840393,63.0,66,1.4754628181457519,57.3,59,1.4143608808517456,54.4,56,1.4358234167099,66.4,69,1.5040250062942504,72.4,76,1.5202877044677734,66.6,70,1.5369622945785522,64.7,66,1.5056241273880004,69.5,70,1.499947690963745,62.7,66,1.4184719800949097,57.9,58,1.4481436967849732,56.2,60,1.4980568885803223,62.0,65,1.5362848043441772,59.9,64,1.4371809005737304,64.4,65,1.4336380243301392,45.1,46,1.3618187665939332,63.0,64,1.48140230178833,71.3,72,1.5978213787078857,69.8,73,1.5466248989105225,54.1,55,1.408904790878296,49.6,53,1.3946379899978638,69.5,71,1.61110417842865,78.2,80,1.6868380069732667,59.2,60,1.42447829246521,49.5,53,1.437886905670166,55.6,58,1.3128907918930053,45.4,47,1.3066846132278442,62.8,66,1.5285224914550781,67.6,69,1.5680584907531738,67.4,71,1.5972659111022949,55.8,57,1.4428674697875976,59.3,62,1.4680672883987427,59.0,63,1.5052771091461181,63.7,68,1.4941920042037964,45.2,46,1.3572711229324341,71.0,73,1.5156066179275514,63.3,65,1.414374876022339,60.5,62,1.5111396789550782,54.4,56,1.3859064102172851,59.3,62,1.4383991241455079,62.8,63,1.4322741031646729,59.2,60,1.4456673860549927,56.0,58,1.439155888557434
Memetic Algorithm,62.5,64,3.987082004547119,64.0,67,4.355872583389282,57.0,58,3.204715299606323,82.6,86,98.7074863910675,61.6,66,5.191640901565552,60.9,62,4.844356894493103,58.4,60,4.70192551612854,60.0,60,3.7799334049224855,57.1,58,4.482691502571106,59.5,63,4.670033097267151,74.0,74,5.474411296844482,68.0,73,5.560651421546936,55.5,56,4.836617493629456,47.0,48,3.4450503826141357,51.6,52,3.651340126991272,71.7,73,5.102485084533692,53.2,55,3.5071545124053953,58.6,60,4.09279842376709,62.8,64,4.491800594329834,60.6,63,4.397362112998962,65.8,68,5.093944096565247,59.8,62,4.30479998588562,69.1,73,5.648472785949707,74.0,74,5.245060610771179,48.0,48,3.6505993843078612,59.9,61,4.1364665031433105,64.5,65,5.060374808311463,59.5,61,103.13661460876465,67.2,70,5.916164994239807,66.4,67,4.948655104637146,51.8,53,3.1577257394790648,67.3,68,4.342860388755798,56.2,58,4.177071881294251,59.1,60,5.263924622535706,61.0,61,4.109722900390625,50.5,54,3.822177505493164,60.4,61,4.197879791259766,51.3,53,3.194954180717468,54.4,58,3.2911715745925902,65.3,68,4.331377673149109,62.6,65,4.605966305732727,53.7,56,3.1970895767211913,69.7,72,62.229580473899844,67.7,68,4.587560081481934,61.8,63,3.281113314628601,63.8,65,4.140547275543213,58.1,62,95.48872210979462,57.8,60,3.6186100006103517,52.1,53,2.993177080154419,64.1,65,5.421691226959228,54.0,56,3.889698886871338,61.8,63,3.7393145084381105,53.3,55,3.65482702255249,67.5,71,4.855733895301819,64.1,65,3.986080598831177,50.6,54,3.318029522895813,47.1,50,3.655519199371338,65.2,66,4.679977011680603,62.8,66,4.43226912021637,56.4,59,3.5182712078094482,54.9,56,3.923595094680786,68.0,69,4.565886712074279,74.8,76,5.408745980262756,66.7,70,4.9413234233856205,65.3,66,4.649926328659058,68.7,70,4.431281089782715,63.9,65,4.018729424476623,57.9,58,3.5049796104431152,56.0,60,4.414374780654907,61.0,63,5.038198184967041,58.9,64,3.74038679599762,64.2,65,3.8759418725967407,45.3,46,3.244169497489929,62.6,64,4.204501390457153,72.6,74,5.990788626670837,69.0,73,5.4661967039108275,54.4,56,3.683234119415283,50.9,53,3.8610799074172975,70.1,71,6.1296745300292965,79.6,83,7.059371376037598,58.8,60,3.699443888664246,50.3,53,4.043488097190857,55.3,56,3.1475179195404053,45.4,47,2.9245332956314085,63.3,66,4.931010103225708,67.9,69,5.552694869041443,70.0,72,5.688702416419983,56.2,57,4.138410496711731,59.1,62,4.040223002433777,58.1,63,4.353469586372375,65.6,68,4.43544111251831,45.7,46,3.3662545919418334,71.0,73,4.5637747049331665,65.0,65,3.849596619606018,60.7,62,4.6459825277328495,55.2,56,3.5702685117721558,60.4,62,4.4512125015258786,62.9,63,3.92506799697876,59.1,60,4.305248594284057,56.4,58,3.98231840133667
